actor_id,id_paax,actor_name,actor_type,sub_type,cs_type,abbreviation,actor_iso3c,actor_country,actor_gwno,actor_region,un_type,international,regional,domestic,women,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,actor_desc,alternative_names
10,CON_10,Netherlands,Country/State,,,,NLD,Netherlands,210.0,Europe,,,,,,30.0,Government of Netherlands,https://ucdp.uu.se/actor/30,Government of the Netherlands (2010-),,Netherlands is a Country/state in Europe.,Netherlands | Kingdom Netherlands | Nederland | Holland | PaÃƒÂ­ses Bajos | Royal Kingdom of the Netherlands | Kingdom of the Netherlands
11,CON_11,Canada,Country/State,,,,CAN,Canada,20.0,Americas,,,,,,4.0,Government of Canada,https://ucdp.uu.se/actor/4,Government of Canada (2015-),,Canada is a Country/state in Americas.,Canada | Government Canada
12,CON_12,Malaysia,Country/State,,,,MYS,Malaysia,820.0,Asia,,,,,,152.0,Government of Malaysia,https://ucdp.uu.se/actor/152,Government of Malaysia (2021-),Government of Malaysia (2020-2021) | Government of Malaysia (2021-),Malaysia is a Country/state in Asia.,Malaysia | Malaysian Government
13,CON_13,Namibia,Country/State,,,,NAM,Namibia,565.0,Africa,,,,,,103.0,Government of Namibia,https://ucdp.uu.se/actor/103,,,Namibia is a Country/state in Africa.,Namibia | Republic Namibia | Nambia | Government Republic Namibia
14,CON_14,Slovenia,Country/State,,,,SVN,Slovenia,317.0,Europe,,,,,,51.0,Government of Slovenia,https://ucdp.uu.se/actor/51,Government of Slovenia (2018-),,Slovenia is a Country/state in Europe.,Slovenia | Republic Slovenia | Republic Slovenia :
15,CON_15,Brazil,Country/State,,,,BRA,Brazil,140.0,Americas,,,,,,22.0,Government of Brazil,https://ucdp.uu.se/actor/22,Government of Brazil (2019-),Government of Brazil (2016-2018) | Government of Brazil (2019-),Brazil is a Country/state in Americas.,Brazil | Federative Republic Brazil | Federal Republic Brazil | Federative Republic of Brazil
16,CON_16,Gambia,Country/State,,,,GMB,Gambia,420.0,Africa,,,,,,71.0,Government of Gambia,https://ucdp.uu.se/actor/71,Government of Gambia (2017-),Government of Gambia (1996-2017) | Government of Gambia (2017-),Gambia is a Country/state in Africa.,Gambia | Gambia ] | Republic Gambia
17,CON_17,Gabon,Country/State,,,,GAB,Gabon,481.0,Africa,,,,,,85.0,Government of Gabon,https://ucdp.uu.se/actor/85,Government of Gabon (2009-),,Gabon is a Country/state in Africa.,Gabon | Republic Gabon | Republic Gabonese Republic | Socialist Union Gabon | Gabonese Republic | Gabonese Republic  Republic
18,CON_18,Bahrain,Country/State,,,,BHR,Bahrain,692.0,Asia,,,,,,126.0,Government of Bahrain,https://ucdp.uu.se/actor/126,Government of Bahrain (1999-),,Bahrain is a Country/state in Asia.,Bahrain | Bahrain Chamber Commerce Industry | Kingdom Bahrain
19,CON_19,United Kingdom,Country/State,,,,GBR,United Kingdom,200.0,Europe,P5,,,,,28.0,Government of United Kingdom,https://ucdp.uu.se/actor/28,Government of the United Kingdom (2010-),,United Kingdom is a Country/state in Europe. They are a permanent member of the UN Security Council.,United Kingdom | Britain | Great Britain | UK | United Kingdom Great Britain | United Kingdom of Great Britain and Northern Ireland | British Government | United Kingdom  Government | United Kingdom Government
20,CON_20,China,Country/State,,,,CHN,China,710.0,Asia,P5,,,,,135.0,Government of China,https://ucdp.uu.se/actor/135,Government of China (2012-),Government of China (2012-) | Government of China (2017-) Hong Kong Special Administrative Region | Government of China (2019-) Macau Special Administrative Region,China is a Country/state in Asia. They are a permanent member of the UN Security Council.,China | People's Republic China | People's Republic China  Plenipotentiary | People Republic China | Ministers Foreign Affairs China | People Ã¢â‚¬â„¢s Republic China | Peoples Republic China | People Ã¢â‚¬â„¢s Republic China  Plenipotentiary
21,CON_21,Russia,Country/State,,,,RUS,Russia,365.0,Europe,P5,,,,,57.0,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,Russia is a Country/state in Europe. They are a permanent member of the UN Security Council.,Russia (Soviet Union) | RUSSIAN FEDERATION | Russia | Russian Federation - B. YELTSIN | Russian Federation Plenipotentiary | Russian Federation ( Facilitator | Russian Federation : | Russian Federation : Mikhailov | Russian Federation A. Kozirev | Russian Federation A. Shokhin | RUSSIAN FEDERATION ANGOLA | Russian Federation Federal Assembly | Russian Federation P. S. Grachev | Russian Federation Representative Sergey Viktorovich Lavrov | USSR | Council of Federation of Russia | Russian Ministry of Foreign Affairs | Union of Soviet Socialist Republics | Soviet Union | Russian | Governments Russian Federation | Ministry Defence Russian Federation : P | Russian Federation Government | Russian Government | Russian Ministry Foreign Affairs | Russian Federation :  Mikhailov | Russian Federation  Plenipotentiary | Russian Federation V.V.Putin | V. V. Putin
22,CON_22,Yugoslavia,Country/State,,,, ,Yugoslavia,345.0,Europe,,,,,,,,,,,Yugoslavia is a Country/state in Europe.,Yugoslavia | Federal Republic Yugoslavia | Medical Service Yugoslav People Ã¢â‚¬â„¢s Army | National Defence Government Socialist Federative Republic Yugoslavia | Socialist Federal Republic Yugoslavia | Socialist Federative Republic Yugoslavia | Yugoslav Army | Yugoslav People Army | Yugoslav Peoples Army | Yugoslav Republic Macedonia | SFRY | SFRY republics
23,POL_23,Progress Party of Gabon,Political Party,,,PGP,GAB,Gabon,481.0,Africa,,,,,,,,,,,Progress Party of Gabon None is a Political Party based in Gabon.,
24,POL_24,People’s Socialist Emancipation Movement,Political Party,,,MESP,GAB,Gabon,481.0,Africa,,,,,,,,,,,People’s Socialist Emancipation Movement None is a Political Party based in Gabon.,
25,POL_25,African Forum for Reconstruction,Political Party,,,FAR,GAB,Gabon,481.0,Africa,,,,,,,,,,,African Forum for Reconstruction None is a Political Party based in Gabon.,
26,POL_26,National Recovery Movement,Political Party,,,MORENA,GAB,Gabon,481.0,Africa,,,,,,,,,,,National Recovery Movement None is a Political Party based in Gabon.,
27,POL_27,Democratic & Republican Alliance,Political Party,,,ADERE,GAB,Gabon,481.0,Africa,,,,,,,,,,,Democratic & Republican Alliance None is a Political Party based in Gabon.,
28,POL_28,Independent Centre Party of Gabon,Political Party,,,PGCI,GAB,Gabon,481.0,Africa,,,,,,,,,,,Independent Centre Party of Gabon None is a Political Party based in Gabon.,
29,POL_29,Democratic Justice Congress,Political Party,,,CDJ,GAB,Gabon,481.0,Africa,,,,,,,,,,,Democratic Justice Congress None is a Political Party based in Gabon.,
30,POL_30,Democratic Party of Gabon,Political Party,,,PDG,GAB,Gabon,481.0,Africa,,,,,,,,,PDG: Gabonese Democratic Party,,Democratic Party of Gabon None is a Political Party based in Gabon.,
31,POL_31,Social Democratic Party,Political Party,,,PSD,GAB,Gabon,481.0,Africa,,,,,,,,,,,Social Democratic Party None is a Political Party based in Gabon.,
32,POL_32,United People’s Party,Political Party,,,PUP-CRISE,GAB,Gabon,481.0,Africa,,,,,,,,,,,United People’s Party None is a Political Party based in Gabon.,
33,POL_33,Liberal Reform Convention,Political Party,,,CLR,GAB,Gabon,481.0,Africa,,,,,,,,,,,Liberal Reform Convention None is a Political Party based in Gabon.,
34,POL_34,National Assembly of Foresters,Political Party,,,RNB,GAB,Gabon,481.0,Africa,,,,,,,,,,,National Assembly of Foresters None is a Political Party based in Gabon.,
35,POL_35,Gabon People’s Union,Political Party,,,UPG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Gabon People’s Union None is a Political Party based in Gabon.,
36,UMB_36,Political Groups,Umbrella,,,,GAB,Gabon,481.0,Africa,,,,,,,,,,,Political Groups is an Umbrella actor.,
37,POL_37,Radical Independent Republican Party,Political Party,,,PARI,GAB,Gabon,481.0,Africa,,,,,,,,,,,Radical Independent Republican Party None is a Political Party based in Gabon.,
38,POL_38,Gabon Association for Socialism,Political Party,,,APSG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Gabon Association for Socialism None is a Political Party based in Gabon.,
39,POL_39,Unity People’s Party,Political Party,,,PUP,GAB,Gabon,481.0,Africa,,,,,,,,,,,Unity People’s Party None is a Political Party based in Gabon.,
40,POL_40,Socialist Union of Gabon,Political Party,,,USG,GAB,Gabon,481.0,Africa,,,,,,,,,,,Socialist Union of Gabon None is a Political Party based in Gabon.,
41,CON_41,Benin,Country/State,,,,BEN,Benin,434.0,Africa,,,,,,1209.0,Government of Benin,https://ucdp.uu.se/actor/1209,Government of Benin (2016-),Government of Benin (2006-2016) | Government of Benin (2016-),Benin is a Country/state in Africa.,Benin | Republic BENIN | Republic Benin  Mr FranÃƒÆ’Ã‚Â§ois | Republic of Benin | Republic Benin  Mr FranÃƒÂ§ois
42,CON_42,Congo,Country/State,,,,COG,"Congo, Republic of the",484.0,Africa,,,,,,88.0,Government of Congo,https://ucdp.uu.se/actor/88,Government of the Republic of Congo (1997-),,Congo is a Country/state in Africa.,"Congo | CONGO, REPUBLIC OF | Republic of the Congo | Republic Congo"
43,IGO_43,Organization of African Unity,Intergovernmental Organization,Regional,,OAU,,,,Africa,,,1.0,,,,,,,,Organization of African Unity None is an regional intergovernmental organization based in Africa.,Organisation De L'UnitÃ© Africaine | Organization Of African Unity | OUA | OAU | Organisation Of African Unity | Org for African Unity | Organization for African Unity | Organisation for African Unity | Organization African Unity | Organization African Unity  OFFICE FORUM | Organisation African Unity | OAU Representative
44,CON_44,Guinea ,Country/State,,,,GIN,Guinea,438.0,Africa,,,,,,77.0,Government of Guinea,https://ucdp.uu.se/actor/77,Government of Guinea (2021-),Government of Guinea (2010-2021) | Government of Guinea (2021-),Guinea  is a Country/state in Africa.,Guinea | Republic Guinea | Republic Guinea - Bissau
45,CON_45,Georgia,Country/State,,,,GEO,Georgia,372.0,Asia,,,,,,63.0,Government of Georgia,https://ucdp.uu.se/actor/63,Government of Georgia (2012-),,Georgia is a Country/state in Asia.,Georgia | Georgia - E. SHEVARDNADZE | Georgia Germany | Georgia I. Menagarishvili | Georgia V. Goguadze | Republic Georgia | Republic Georgia E. A. Shevardnadze | Republic Georgia O. Patsatsia
46,ENT_46,Abkhazia,Entity,,,,GEO,Georgia,372.0,Asia,,,,,,,,,,,Abkhazia is an entity (Georgia).,
47,ENT_47,North Caucasian,Entity,,,,RUS,Russia,365.0,Europe,,,,,,,,,,,North Caucasian is an entity (Russia).,
48,IGO_48,Conference on Security and Cooperation in Europe,Intergovernmental Organization,Regional,,CSCE,,,,Europe,,,1.0,,,,,,,,Conference on Security and Cooperation in Europe None is an regional intergovernmental organization based in Europe.,Helsinki Agreement | Helsinki Declaration | CSCE | Conference on Security and Cooperation in Europe
49,IGO_49,United Nations (General),Intergovernmental Organization,,,UN,,,,,United Nations,1.0,,,,,,,UN: United Nations,,This actor refers to any kind of representative to the United Nations and any of its branches.,"United Nations | U.N. | UN | United Nations Representative | United Nations - WILFRID | United Nations Babacar Gaye | United Nations Certified | United Nations H.E. | United Nations H.E. Yoweri | United Nations International Committee Red Cross International Federation Red Cross | UN Organization Chaired | United Nations Representative Organization Security Cooperation | United Nations Signed | United Nations USA Countries | United Nations , Economic Cooperation Organization | United Nations' Multidimensional Integrated Stabilization Mission | UNITED NATIONS COLOMBIA | UN Ad Litem | UN BH COMMAND | UN E. Brunner | UN Peace Monitoring Group Bougainville | United Nations Special Envoy | Untied Nations | The UN | U.N | The U.N | UNA | United Nations Office | United Nations Organisation | United Nations Organization | United Nations Peace Forces | Office United Nations | UN & EC | Special Rapporteurs of the United Nations | Special Rapporteur Of The United Nations Human Rights Council | Special Rapporteur | UN International Police Task Force | United Nations  Babacar Gaye | United Nations  - WILFRID | United Nations Resident Coordinator"
50,IGO_50,Organization for Security and Cooperation in Europe,Intergovernmental Organization,Regional,,OSCE,,,,Europe,,1.0,1.0,,,,,,,,Organization for Security and Cooperation in Europe None is an international intergovernmental organization.,OSCE | Organization For Security And Cooperation In Europe | Organisation For Security And Cooperation In Europe | Organisation For Security And Co-Operation In Europe | Organization For Security And Co-Operation In Europe | Org. Security Cooperation Europe | Organization for Security and Cooperation in Europe (OSCE) | Organisation Security | Organisation Security Cooperation | Organization Security CoÃƒÂ¢Ã¢â€šÂ¬Ã‚Âoperation | Organization Security Cooperation | OSCE Assistance Group | OSCE Mission | OSCE Mission T. Guldimann | OSCE Support Group
51,COA_51,Group of Friends UNSG,State Coalition,,,,,,,,,1.0,,,,,,,,,Group of Friends UNSG is an State Coalition actor.,
52,CON_52,Ukraine,Country/State,,,,UKR,Ukraine,369.0,Europe,,,,,,61.0,Government of Ukraine,https://ucdp.uu.se/actor/61,Government of Ukraine (2019-),Government of Ukraine (2014-2019) | Government of Ukraine (2019-),Ukraine is a Country/state in Europe.,Ukraine
53,IGO_53,Commonwealth of Independent States,Intergovernmental Organization,Regional,,CIS,,,,Europe,,1.0,1.0,,,,,,,,Commonwealth of Independent States None is an international intergovernmental organization.,Commonwealth Of Independent States | CIS | Commonwealth of Independent States (CIS) | Commonwealth Independent States
54,CON_54,Uzbekistan,Country/State,,,,UZB,Uzbekistan,704.0,Asia,,,,,,133.0,Government of Uzbekistan,https://ucdp.uu.se/actor/133,Government of Uzbekistan (2016-),,Uzbekistan is a Country/state in Asia.,Uzbekistan | Republic Uzbekistan | Republic Uzbekistan -  I. KARIMOV | Republic of Uzbekistan
55,CON_55,Kyrgyzstan,Country/State,,,,KGZ,Kyrgyzstan,703.0,Asia,,,,,,132.0,Government of Kyrgyzstan,https://ucdp.uu.se/actor/132,Government of Kyrgyzstan (2017-2020),,Kyrgyzstan is a Country/state in Asia.,Kyrgyz Republic | KYRGYZSTAN | Kyrgyz Republic - A. | Kyrgyz Republic : | Kyrgyztan | Supreme Soviet of Kyrgyzstan
56,CON_56,Kazakhstan,Country/State,,,,KAZ,Kazakhstan,705.0,Asia,,,,,,134.0,Government of Kazakhstan,https://ucdp.uu.se/actor/134,Government of Kazakhstan (2019-),Government of Kazakhstan (1990-2019) | Government of Kazakhstan (2019-),Kazakhstan is a Country/state in Asia.,Kazakhstan | Kazakshtan | Kazakstan | Republic Kazakhstan | Republic Kazakhstan - N | Republic Kazakstan
57,CON_57,Turkmenistan,Country/State,,,,TKM,Turkmenistan,701.0,Asia,,,,,,,,,Government of Turkmenistan (2006-),,Turkmenistan is a Country/state in Asia.,Turkmenistan
58,CON_58,Belarus,Country/State,,,,BLR,Belarus,370.0,Europe,,,,,,,,,Government of Belarus (1994-),,Belarus is a Country/state in Europe.,Belarus (Byelorussia) | BELARUS | Republic Belarus | Byelorussia
59,CON_59,Azerbaijan,Country/State,,,,AZE,Azerbaijan,373.0,Asia,,,,,,64.0,Government of Azerbaijan,https://ucdp.uu.se/actor/64,Government of Azerbaijan (2003-),,Azerbaijan is a Country/state in Asia.,Azerbaijan | Azerbaijan Republic | Azerbaijan Republic : | Azerbaijan Republic : S | Azerbaijani Republic - G. ALIYEV | Azerbaijani Republic : | Azerbaijani Supreme Soviet | Azerbaijan Ilham Aliyev | Republic Azerbaijan | Ministry Azerbaijan Republic : | Defence Azerbaijan : | Defence Azerbaijan Republic : | High Council Azerbaijan Republic : Jalilov  Acting | Army Azerbaijan Republic
60,CON_60,Moldova,Country/State,,,,MDA,Moldova,359.0,Europe,,,,,,55.0,Government of Moldova,https://ucdp.uu.se/actor/55,Government of Moldova (2021-),Government of Moldova (2016-2019) | Government of Moldova (2019-2020) | Government of Moldova (2021-) | Government of Moldova (2016-2019) Gagauzia Regional Government | Government of Moldova (2019-) Gagauzia Regional Government | Government of Moldova (2020-2021),Moldova is a Country/state in Europe.,"Moldova | MOLDOVA, REPUBLIC OF | Republic Moldova"
61,CON_61,Armenia,Country/State,,,,ARM,Armenia,371.0,Asia,,,,,,62.0,Government of Armenia,https://ucdp.uu.se/actor/62,Government of Armenia (2018-),Government of Armenia (2008-2018) | Government of Armenia (2018-),Armenia is a Country/state in Asia.,Armenia | Republic Armenia - R. | Republic Armenia | Republic Azerbaijan I. G. Alityev | Republic Armenia N.V. Pashinyan
62,CON_62,Tajikistan,Country/State,,,,TJK,Tajikistan,702.0,Asia,,,,,,131.0,Government of Tajikistan,https://ucdp.uu.se/actor/131,Government of Tajikistan (1994-),,Tajikistan is a Country/state in Asia.,Tajikistan | Republic Tajikistan | Delegation Government Republic Tajikistan | Government Republic Tajikistan
63,IGO_63,CIS Peacekeeping Force,Intergovernmental Organization,Regional,,CIS-PKF,,,,Europe,,,1.0,,,,,,,,CIS Peacekeeping Force None is an regional intergovernmental organization based in Europe.,CPKF | CPKF of CIS | CIS Peace- Keeping Forces | PKF of the CIS
64,IGO_64,United Nations Development Programme,Intergovernmental Organization,,,UNDP,,,,,United Nations,1.0,,,,,,,,,United Nations Development Programme None is an office of the United Nations.,UNDP | United Nations Development Programme | United Nations Development Program | UN Development Programme
65,IGO_65,High Commission for Refugees,Intergovernmental Organization,,,UNHCR,,,,,United Nations,1.0,,,,,,,,,High Commission for Refugees None is an office of the United Nations.,UNHCR | United Nations Commission For Refugees | Un Refugee Agency | U.N. High Commissioner For Refugees | U.N. Commission For Refugees | Un Commission For Refugees | Un High Commissioner For Refugees | United Nations High Commissioner For Refugees | United Nations Refugee Agency | U.N. Refugee Agency | United Nations High Commission Refugees | UNHCR ZENICA
66,MIL_66,Haiti Armed Forces,Military,,,,HTI,Haiti,41.0,Americas,,,,,,,,,Military Forces of Haiti (2017-),,Haiti Armed Forces refers to the military/army of Haiti.,Armed Forces Haiti
67,CON_67,Haiti,Country/State,,,,HTI,Haiti,41.0,Americas,,,,,,6.0,Government of Haiti,https://ucdp.uu.se/actor/6,Government of Haiti (2017-),,Haiti is a Country/state in Americas.,Haiti | Republic Haiti | Haitian
68,IGO_68,Organization of American States,Intergovernmental Organization,Regional,,OAS,,,,Americas,,,1.0,,,,,,,,Organization of American States None is an regional intergovernmental organization based in Americas.,Organisation Of American States | OAS | OEA | OrganizaciÃ³n De Los Estados Americanos | Organization Of American States | OrganizaciÃƒÂ³n De Los Estados Americanos | Pan American Union (OAS) | Pan-Am Union/Org of Am States | Pan American Union | Organization American States | the Organisation of American States
69,ENT_69,Assam,Entity,,,,IND,India,750.0,Asia,,,,,,,,,,,Assam is an entity (India).,
70,CON_70,India,Country/State,,,,IND,India,750.0,Asia,,,,,,141.0,Government of India,https://ucdp.uu.se/actor/141,Government of India (2014-),,India is a Country/state in Asia.,India | Republic India | Government India | Government India Ministry Home Affairs | Government Republic India | Indian
71,OTH_71,BPAC,Other,,,,IND,India,750.0,Asia,,,,1.0,,,,,,,BPAC is an Other actor.,
72,NGO_72,All Bodo Students Union,Civil Society,Non-governmental Organization,Youth,ABSU,IND,India,750.0,Asia,,,,1.0,,,,,,,All Bodo Students Union is a civil society representative for youth in India.,ABSU
73,ARM_73,Hmar People's Convention,Armed Organization,,,HPC,IND,India,750.0,Asia,,,,,,885.0,HPC,https://ucdp.uu.se/actor/885,HPC-D: Hmar People's Convention (Democratic),,Hmar People's Convention None is an Armed Organization based in India.,
74,ENT_74,Mizoram,Entity,,,,IND,India,750.0,Asia,,,,,,,,,,,Mizoram is an entity (India).,
75,CON_75,Iraq,Country/State,,,,IRQ,Iraq,645.0,Asia,,,,,,116.0,Government of Iraq,https://ucdp.uu.se/actor/116,Government of Iraq (2020-),Government of Iraq (2014-2018) | Government of Iraq (2018-2020) | Government of Iraq (2020-),Iraq is a Country/state in Asia.,Iraq | Republic Iraq | Delegation Iraq | Iraqi Governing Council
76,CON_76,Israel,Country/State,,,,ISR,Israel,666.0,Asia,,,,,,121.0,Government of Israel,https://ucdp.uu.se/actor/121,Government of Israel (2009-2021),,Israel is a Country/state in Asia.,Israel
77,CON_77,Syrian Arab Republic,Country/State,,,,SYR,Syria,652.0,Asia,,,,,,118.0,Government of Syria,https://ucdp.uu.se/actor/118,Government of Syria (2000-),,Syrian Arab Republic is a Country/state in Asia.,Syria | SYRIAN ARAB REPUBLIC | Syrian Government
78,CON_78,Jordan,Country/State,,,,JOR,Jordan,663.0,Asia,,,,,,120.0,Government of Jordan,https://ucdp.uu.se/actor/120,Government of Jordan (1999-),,Jordan is a Country/state in Asia.,Jordan
79,CON_79,Lebanon,Country/State,,,,LBN,Lebanon,660.0,Asia,,,,,,119.0,Government of Lebanon,https://ucdp.uu.se/actor/119,Government of Lebanon (2020-2021),Government of Lebanon (2016-2019) | Government of Lebanon (2019-2020) | Government of Lebanon (2020-2021),Lebanon is a Country/state in Asia.,Lebanon | Lebanese Republic | Lebanese Government
80,ARM_80,Palestine Liberation Organization ,Armed Organization,,,PLO,PSE,Palestine,667.0,Asia,,,,,,204.0,PLO,https://ucdp.uu.se/actor/204,PLO: Palestinian Liberation Organisation,,Palestine Liberation Organization  None is an Armed Organization based in Palestine.,Palestine Liberation Organisation | Palestine Liberation Organization | Palestinian Liberation Organisation | Palestinian Liberation Organization | Palestinian Liberation Organization Delegation | PLO | PLO Executive Committee
81,CON_81,Norway,Country/State,,,,NOR,Norway,385.0,Europe,,,,,,67.0,Government of Norway,https://ucdp.uu.se/actor/67,Government of Norway (2013-),,Norway is a Country/state in Europe.,Norway | Kingdom Norway | Kingdom Norway  Bolivarian Republic Venezuela | Norwegian Government | Royal Norwegian Government | ROYAL NORWEGIAN GOVERNMENT Party Facilitator | ROYAL NORWEIGAN GOVERNMENT | Royal Government of Norway | Norwegian
82,CON_82,Egypt,Country/State,,,,EGY,Egypt,651.0,Africa,,,,,,117.0,Government of Egypt,https://ucdp.uu.se/actor/117,Government of Egypt (2014-),Government of Egypt (2012-2013) | Government of Egypt (2013-2014) | Government of Egypt (2014-) | Government of Egypt (1981-2011) | Government of Egypt (2011-2012),Egypt is a Country/state in Africa.,Egypt | Republic Egypt | the Arab Republic of Egypt | Egyptian Government | Arab Republic Egypt
83,CON_83,Liberia,Country/State,,,,LBR,Liberia,450.0,Africa,,,,,,79.0,Government of Liberia,https://ucdp.uu.se/actor/79,Government of Liberia (2018-),Government of Liberia (2006-2018) | Government of Liberia (2018-),Liberia is a Country/state in Africa.,Liberia | Republic Liberia
84,ARM_84,National Patriotic Front of Liberia,Armed Organization,,,NPFL,LBR,Liberia,450.0,Africa,,,,,,507.0,NPFL,https://ucdp.uu.se/actor/507,NPFL: National Patriotic Front Liberia,Former NPFL: National Patriotic Front Liberia,National Patriotic Front of Liberia None is an Armed Organization based in Liberia.,National Patriotic Front of Liberia (Liberia)
85,CON_85,Togo,Country/State,,,,TGO,Togo,461.0,Africa,,,,,,82.0,Government of Togo,https://ucdp.uu.se/actor/82,Government of Togo (2005-),,Togo is a Country/state in Africa.,Togo | Republic Togo | Togolese Republic | Togolese Republic ( | Togolese Republic Honourable Commandant Facine Toure
